key,value,source
seeds,11 12 13 14 15,run parameter
n_seeds,5,run parameter
overhang_seeds,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,"run parameter, the count PROGRESS.md x-02 registers"
n_overhang_seeds,20,run parameter
budgets,5000 20000,run parameter
convergence_eps,0.1,src/problems_tier1.py's default_params
epsilon_levels,0.0 0.05 0.1 0.25 0.5,src/problems_tier1.py's epsilon_levels
pop_size,100,run parameter
delta_box_fraction,0.05,run parameter
hv_reference_rule,reference_front_nadir_plus_range_tenth,run parameter
truncation_seed,20260906,run parameter
dependence_points,512,run parameter
dependence_seed,20260905,run parameter
n_configurations,108,the run grid
n_runs,540,the run grid
wall_seconds,4243.346384048462,the run grid
box_scale_zdt1_interval,5.477225575051661,the problem's bounds
delta_zdt1_interval,0.2738612787525831,run parameter
n_vars_zdt1_interval,30,the problem
n_image_columns_zdt1_interval,4,"the problem, 2m under any phi"
box_scale_dtlz2_interval,3.4641016151377544,the problem's bounds
delta_dtlz2_interval,0.17320508075688773,run parameter
n_vars_dtlz2_interval,12,the problem
n_image_columns_dtlz2_interval,6,"the problem, 2m under any phi"
table_2_measured_eps_0.0,table_2_measured_eps_0.0.csv,written here
table_2_measured_eps_0.05,table_2_measured_eps_0.05.csv,written here
table_2_measured_eps_0.1,table_2_measured_eps_0.1.csv,written here
table_2_measured_eps_0.25,table_2_measured_eps_0.25.csv,written here
table_2_measured_eps_0.5,table_2_measured_eps_0.5.csv,written here
table_3_solvers_eps_0.0,table_3_solvers_eps_0.0.csv,written here
table_3_solvers_eps_0.05,table_3_solvers_eps_0.05.csv,written here
table_3_solvers_eps_0.1,table_3_solvers_eps_0.1.csv,written here
table_3_solvers_eps_0.25,table_3_solvers_eps_0.25.csv,written here
table_3_solvers_eps_0.5,table_3_solvers_eps_0.5.csv,written here
common_cardinality_dtlz2_interval_0.0,100,"r-16, the smallest front of the comparison"
common_cardinality_dtlz2_interval_0.05,100,"r-16, the smallest front of the comparison"
common_cardinality_dtlz2_interval_0.1,100,"r-16, the smallest front of the comparison"
common_cardinality_dtlz2_interval_0.25,100,"r-16, the smallest front of the comparison"
common_cardinality_dtlz2_interval_0.5,100,"r-16, the smallest front of the comparison"
common_cardinality_zdt1_interval_0.0,15,"r-16, the smallest front of the comparison"
common_cardinality_zdt1_interval_0.05,20,"r-16, the smallest front of the comparison"
common_cardinality_zdt1_interval_0.1,29,"r-16, the smallest front of the comparison"
common_cardinality_zdt1_interval_0.25,41,"r-16, the smallest front of the comparison"
common_cardinality_zdt1_interval_0.5,66,"r-16, the smallest front of the comparison"
hypervolume_scored_dtlz2_interval_cw_0.0,False,"no hypervolume is scored: image columns [1, 3, 5] are constant over every row, so the margin rule adds no thickness there, the point cannot strictly dominate any row and every row's box has zero volume. the point is recorded because the other metrics' rows state the one the configuration would have been scored against"
hypervolume_scored_dtlz2_interval_cw_0.05,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_cw_0.1,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_cw_0.25,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_cw_0.5,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_ls_0.0,False,"no hypervolume is scored: image columns [1, 3, 5] are constant over every row, so the margin rule adds no thickness there, the point cannot strictly dominate any row and every row's box has zero volume. the point is recorded because the other metrics' rows state the one the configuration would have been scored against"
hypervolume_scored_dtlz2_interval_ls_0.05,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_ls_0.1,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_ls_0.25,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_ls_0.5,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_lu_0.0,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_lu_0.05,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_lu_0.1,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_lu_0.25,True,the point dominates every scored row
hypervolume_scored_dtlz2_interval_lu_0.5,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_cw_0.0,False,"no hypervolume is scored: image columns [1, 3] are constant over every row, so the margin rule adds no thickness there, the point cannot strictly dominate any row and every row's box has zero volume. the point is recorded because the other metrics' rows state the one the configuration would have been scored against"
hypervolume_scored_zdt1_interval_cw_0.05,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_cw_0.1,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_cw_0.25,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_cw_0.5,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_ls_0.0,False,"no hypervolume is scored: image columns [1, 3] are constant over every row, so the margin rule adds no thickness there, the point cannot strictly dominate any row and every row's box has zero volume. the point is recorded because the other metrics' rows state the one the configuration would have been scored against"
hypervolume_scored_zdt1_interval_ls_0.05,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_ls_0.1,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_ls_0.25,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_ls_0.5,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_lu_0.0,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_lu_0.05,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_lu_0.1,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_lu_0.25,True,the point dominates every scored row
hypervolume_scored_zdt1_interval_lu_0.5,True,the point dominates every scored row
