# metrics table, written by src/reporting.py, subpart d3. two blocks with
# different columns, and the split is the content and not the layout.
# every value is a median with its interquartile range over the seed count in
# the same row, and every row states the evaluation budget and the
# cardinality it was computed at. no cell is one run.

block,objective_space
# hypervolume, igd and spread are computed on the (k, 2m) rows of one
# phi's image. each phi maps the same problem into a different space on a
# different scale, CONTEXT.md section 5 step 5, so these compare solvers
# under one fixed phi and never rank one phi against another; a ratio
# taken across two phi here is a ratio of volumes in two different spaces
# and means nothing. all three move with the cardinality, r-16, which is
# why every row states the one it was computed at.
problem,phi,solver,metric,n_seeds,n_evals,cardinality,reference_size,sampling_mode,include_singular_segments,hv_reference_rule,hv_reference_point,median,q1,q3,iqr

block,decision_space
# hausdorff, coverage, overlap and cross evaluation are computed on the
# recovered sets in the decision space, which is the one space every phi
# shares, so these are the metrics comparable across phi and this is the
# block a phi comparison is read from. a row whose status is check has one
# direction fixed by a containment before any solver ran, r-06 and r-11,
# so a difference there is in part a theorem; only a row whose status is
# finding carries the sensitivity signal.
problem,phi_a,phi_b,status,metric,n_seeds,n_evals,cardinality_a,cardinality_b,delta,box_scale,containment_violations,note,median,q1,q3,iqr
dtlz2_interval,ls,cw,check,coverage_a_in_b,5,5000,2077,1813,0.0,3.4641016151377544,,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is zero, so the row is the shared count over the count, with no tolerance in it at all; the three sets are index sets over one array, so two vectors are the same point bitwise or they are two points; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.8726503759398496,0.8630831643002028,0.8728935965334618,0.009810432233258948
dtlz2_interval,ls,cw,check,coverage_a_in_b,5,5000,2077,1813,0.17320508075688773,3.4641016151377544,0,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.8726503759398496,0.8630831643002028,0.8728935965334618,0.009810432233258948
dtlz2_interval,ls,cw,check,coverage_a_in_b,5,20000,5521,4563,0.0,3.4641016151377544,,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is zero, so the row is the shared count over the count, with no tolerance in it at all; the three sets are index sets over one array, so two vectors are the same point bitwise or they are two points; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.8268429632312987,0.8210868387795631,0.8294326241134752,0.008345785333912059
dtlz2_interval,ls,cw,check,coverage_a_in_b,5,20000,5521,4563,0.17320508075688773,3.4641016151377544,0,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.8268429632312987,0.8210868387795631,0.8294326241134752,0.008345785333912059
dtlz2_interval,ls,cw,check,coverage_b_in_a,5,5000,2077,1813,0.0,3.4641016151377544,,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is zero, so the row is the shared count over the count, with no tolerance in it at all; the three sets are index sets over one array, so two vectors are the same point bitwise or they are two points; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,ls,cw,check,coverage_b_in_a,5,5000,2077,1813,0.17320508075688773,3.4641016151377544,0,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,ls,cw,check,coverage_b_in_a,5,20000,5521,4563,0.0,3.4641016151377544,,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is zero, so the row is the shared count over the count, with no tolerance in it at all; the three sets are index sets over one array, so two vectors are the same point bitwise or they are two points; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,ls,cw,check,coverage_b_in_a,5,20000,5521,4563,0.17320508075688773,3.4641016151377544,0,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,ls,cw,check,cross_a_under_b,5,5000,2077,1813,0.17320508075688773,3.4641016151377544,0,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.8726503759398496,0.8630831643002028,0.8728935965334618,0.009810432233258948
dtlz2_interval,ls,cw,check,cross_a_under_b,5,20000,5521,4563,0.17320508075688773,3.4641016151377544,0,"measured on random search's one filtered sample, so the two sets differ only through the order; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.8268429632312987,0.8210868387795631,0.8294326241134752,0.008345785333912059
